IDRFME;DTREF;ANO;MES;TIMEID;DEF_12;nr_titulares;nr_outros_interv;PREST;max_escolaridade;min_escolaridade;max_risco_regiao;min_risco_regiao;n_tit_domvenc;med_domvenc;med_dias_devedor;flag_nao_resi;med_idade;younger;older;avg_dependentes;flag_resec;med_filhos;med_idade_filhos;med_rend_disp;pior_habitacao;best_habitacao;flag_resi;pior_vinclab;best_vinclab;best_prof2;pior_prof2;max_risco_origem2;min_risco_origem2;pior_estciv;best_estciv;CDTIPES;EXPOSICAO;MTLINHASDISP;PRAZO;FINALIDADE;FLAG_REEST;TXESFGLOBAL;FLG14PREST;OUT_VALPREST;INVALPRESTDUPLA;OUTVALPRESTDUPLA;CARNUM;PCTVALRES;SLDULTRESM;SLDPNTBSCAP1M;SLDPNTBSPPR;SLDPNTFUND;SLDPNTDEPPRZ;SLDPNTOUTDES;VALPRESTDUPLA;DO_PREST;DUMMYAUTONOVO;DUMMYPRAZO72_84;DUMMYPRAZOSUP84;DUMMYDOMVENC_AVAL;DUMMYRECPRAZO;DUMMYIFSUP5TC;INCTC;NUM_DEB_FINALtc;REC_PRAZO;NRDIASDEVEDOR;SLDPNTDO;SLDMDDOTM;SLDPNTTITRV;PLATRDIARIOCC;MEDR1MCC;MEDRADCC;MEDR1MCI;MEDRADCI;PRESTDIARIACI;MEDR1MCH;MEDRADCH;PRESTDIARIACH;MEDR1MCHP;SLDMDDEVAD;SLDMDDEV1M;SLDMDDEV3M;SLDMDDEV6M;TPRESTFRONTENDCI;flag_garant;flag_fin;envolvimento;ANTCONTA1;VARIOS_TITULARES;INDRESTRUT_num;flag14prest;SALDO_PONTUAL;naciona_final_num;naciona_rend_num;estciv_final_num
AA60013703716;2015-01-31;2015;1;201501;0;2;0;211.03;1;1;7;7;0;;0;0;48;46;50;0;0;0;0;0;4;4;1;2;1;3;4;2;2;5;5;P;3878.5;0;24;98;1;999.000;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;480.00;;;;;;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;1
AA60013704033;2015-01-31;2015;1;201501;0;1;2;224.64;1;1;8;8;0;;0;0;42;42;42;0;0;0;0;63.693333333;5;5;1;1;1;4;4;2;2;4;4;P;9587.33;0;60;98;0;70.073;N;0.00;0.00;0.00;0;0.00000;67.666667;0.00;0.00;0.00;0.00;0.00;0;30.122269854;0;0;0;0;0;0;0;17;0;0;2170.80;;;450.00;74.374194;160.14;;;;;;;;0.000000;;;;0.00;0;1;4;;0;0;0;0;0;0;4
AA60013704600;2015-01-31;2015;1;201501;0;1;1;103.93;1;1;8;8;0;;0;0;35;35;35;1;0;1;7;257.62133333;1;1;1;1;1;2;2;2;2;5;5;P;5597.39;0;84;98;0;42.497;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;0.00;0;1;1;;0;0;0;0;0;0;1
AA60013705633;2015-01-31;2015;1;201501;0;1;0;251.96;3;3;10;10;0;;0;1;31;31;31;0;0;0;0;1696.878;3;3;0;1;1;2;2;2;2;5;5;P;6857.45;0;36;98;0;10.342;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;1067.17;;;;;;;;;;;;;;;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60013705845;2015-01-31;2015;1;201501;0;1;0;232.8;1;1;8;8;0;;0;0;26;26;26;0;0;0;0;0;5;5;1;2;2;4;4;2;2;5;5;P;20124.72;18019.75;108;30;0;0.000;N;0.00;0.00;0.00;12;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;0.00;0;0;1;;0;0;0;0;0;0;1
AA60013705867;2015-01-31;2015;1;201501;0;1;0;211.27;3;3;4;4;0;;0;0;25;25;25;0;0;0;0;0;5;5;1;2;2;4;4;2;2;5;5;P;5865.59;0;54;30;0;0.000;N;0.00;0.00;0.00;26;0.00000;18.666667;0.00;0.00;0.00;0.00;0.00;0;8.8354555782;0;0;0;0;0;0;0;0;0;0;50.00;;;;;;;;;;;;;;;;;0.00;0;0;1;;0;0;0;0;0;0;1
AA60013706055;2015-01-31;2015;1;201501;0;1;1;103.81;2;2;4;4;0;;0;0;41;41;41;0;0;0;0;0;5;5;1;1;1;2;2;2;2;1;1;P;4152.18;0;54;99;1;999.000;N;0.00;0.00;0.00;0;0.00000;26.666667;0.00;0.00;0.00;0.00;0.00;0;25.687955881;0;0;0;0;0;1;0;0;0;0;350.00;;;4000.00;;4440.11;;;;;;;;;;;;0.00;0;0;2;;0;1;0;0;0;0;2
AA60013708185;2015-01-31;2015;1;201501;0;2;0;127.82;1;1;8;1;0;;0;0;48;44;52;0;0;0;0;214.22333333;3;2;1;1;1;3;6;2;2;2;1;P;3479.73;0;36;98;0;34.455;N;0.00;0.00;0.00;0;0.00000;39.666667;0.00;0.00;0.00;0.00;0.00;0;31.033224065;0;0;0;0;0;0;0;5;0;0;86.96;;;150.00;;0.00;;;;;;;;;;;;0.00;1;1;2;;1;0;0;0;0;0;2
AA60013709980;2015-01-31;2015;1;201501;0;1;0;92.48;1;1;7;7;1;0.00;0;0;58;58;58;1;0;0;0;360.192;3;3;1;1;1;6;6;2;2;5;5;P;2515.8;0;36;98;0;16.343;N;0.00;0.00;0.00;0;0.00000;47.333333;0.00;0.00;0.00;0.00;0.00;0;51.18223724;0;0;0;0;0;0;0;6;0;0;204.11;;;;;;;;;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
AA60013710182;2015-01-31;2015;1;201501;0;1;0;219.04;1;1;8;8;1;0.00;0;0;36;36;36;1;0;1;14;553.30933333;5;5;1;1;1;4;4;2;2;5;5;P;10860.34;0;72;98;0;22.688;N;0.00;0.00;0.00;0;0.00000;188.000000;0.00;0.00;0.00;0.00;0.00;0;85.829072316;0;0;0;0;0;0;0;11;0;0;34.10;75.000000;;150.00;;0.00;;;;;;;;;;;;0.00;1;1;2;;0;0;0;0;0;0;1
